,scores,ds
3627,0,20130625
3628,0,20130626
3629,0,20130627
3630,0,20130628
3631,0,20130701
3632,0,20130702
3633,0,20130703
3634,0,20130705
3635,0,20130708
3636,0,20130709
3637,0,20130710
3638,0,20130711
3639,0,20130712
3640,0,20130715
3641,0,20130716
3642,0,20130717
3643,0,20130718
3644,0,20130719
3645,0,20130722
3646,0,20130723
3647,0,20130724
3648,0,20130725
3649,0,20130726
3650,0,20130729
3651,0,20130730
3652,0,20130731
3653,0,20130801
3654,0,20130802
3655,0,20130805
3656,0,20130806
3657,0,20130807
3658,0,20130808
3659,0,20130809
3660,0,20130812
3661,0,20130813
3662,0,20130814
3663,0,20130815
3664,0,20130816
3665,0,20130819
3666,0,20130820
3667,0,20130821
3668,0,20130822
3669,0,20130823
3670,0,20130826
3671,0,20130827
3672,0,20130828
3673,0,20130829
3674,0,20130830
3675,0,20130903
3676,0,20130904
3677,0,20130905
3678,0,20130906
3679,0,20130909
3680,0,20130910
3681,0,20130911
3682,0,20130912
3683,0,20130913
3684,0,20130916
3685,0,20130917
3686,0,20130918
3687,0,20130919
3688,0,20130920
3689,0,20130923
3690,0,20130924
3691,0,20130925
3692,0,20130926
3693,0,20130927
3694,0,20130930
3695,0,20131001
3696,0,20131002
3697,0,20131003
3698,0,20131004
3699,0,20131007
3700,0,20131008
3701,0,20131009
3702,0,20131010
3703,0,20131011
3704,0,20131014
3705,0,20131015
3706,0,20131016
3707,0,20131017
3708,0,20131018
3709,0,20131021
3710,0,20131022
3711,0,20131023
3712,0,20131024
3713,0,20131025
3714,0,20131028
3715,0,20131029
3716,0,20131030
3717,0,20131031
3718,0,20131101
3719,0,20131104
3720,0,20131105
3721,0,20131106
3722,0,20131107
3723,0,20131108
3724,0,20131111
3725,0,20131112
3726,0,20131113
3727,0,20131114
3728,0,20131115
3729,0,20131118
3730,0,20131119
3731,0,20131120
3732,0,20131121
3733,0,20131122
3734,0,20131125
3735,0,20131126
3736,0,20131127
3737,0,20131129
3738,0,20131202
3739,0,20131203
3740,0,20131204
3741,0,20131205
3742,0,20131206
3743,0,20131209
3744,0,20131210
3745,0,20131211
3746,0,20131212
3747,0,20131213
3748,0,20131216
3749,0,20131217
3750,0,20131218
3751,0,20131219
3752,0,20131220
3753,0,20131223
3754,0,20131224
3755,0,20131226
3756,0,20131227
3757,0,20131230
3758,0,20131231
3759,0,20140102
3760,0,20140103
3761,0,20140106
3762,0,20140107
3763,0,20140108
3764,0,20140109
3765,0,20140110
3766,0,20140113
3767,0,20140114
3768,0,20140115
3769,0,20140116
3770,0,20140117
3771,0,20140121
3772,0,20140122
3773,0,20140123
3774,0,20140124
3775,0,20140127
3776,0,20140128
3777,0,20140129
3778,0,20140130
3779,0,20140131
3780,0,20140203
3781,0,20140204
3782,0,20140205
3783,0,20140206
3784,0,20140207
3785,0,20140210
3786,0,20140211
3787,0,20140212
3788,0,20140213
3789,0,20140214
3790,0,20140218
3791,0,20140219
3792,0,20140220
3793,0,20140221
3794,0,20140224
3795,0,20140225
3796,0,20140226
3797,0,20140227
3798,0,20140228
3799,0,20140303
3800,0,20140304
3801,0,20140305
3802,0,20140306
3803,0,20140307
3804,0,20140310
3805,0,20140311
3806,0,20140312
3807,0,20140313
3808,0,20140314
3809,0,20140317
3810,0,20140318
3811,0,20140319
3812,0,20140320
3813,0,20140321
3814,0,20140324
3815,0,20140325
