,ds,score
312,2017-02-09 00:00:00-05:00,0.0
313,2017-02-08 00:00:00-05:00,0.0
314,2017-02-07 00:00:00-05:00,0.0
315,2017-02-06 00:00:00-05:00,0.0
316,2017-02-03 00:00:00-05:00,0.0
317,2017-02-02 00:00:00-05:00,0.0
318,2017-02-01 00:00:00-05:00,0.0
319,2017-01-31 00:00:00-05:00,0.0
320,2017-01-30 00:00:00-05:00,0.0
321,2017-01-27 00:00:00-05:00,0.0
322,2017-01-26 00:00:00-05:00,0.0
323,2017-01-25 00:00:00-05:00,0.0
324,2017-01-24 00:00:00-05:00,0.0
325,2017-01-23 00:00:00-05:00,0.0
326,2017-01-20 00:00:00-05:00,0.0
327,2017-01-19 00:00:00-05:00,0.0
328,2017-01-18 00:00:00-05:00,0.0
329,2017-01-17 00:00:00-05:00,0.0
330,2017-01-13 00:00:00-05:00,0.0
331,2017-01-12 00:00:00-05:00,0.0
332,2017-01-11 00:00:00-05:00,0.0
333,2017-01-10 00:00:00-05:00,0.0
334,2015-05-22 00:00:00-04:00,0.0
335,2015-05-21 00:00:00-04:00,0.0
336,2015-05-20 00:00:00-04:00,0.0
337,2015-05-19 00:00:00-04:00,0.0
338,2015-05-18 00:00:00-04:00,0.0
339,2015-05-15 00:00:00-04:00,0.0
340,2015-05-14 00:00:00-04:00,0.0
341,2015-05-13 00:00:00-04:00,0.0
342,2015-05-12 00:00:00-04:00,0.0
343,2015-05-11 00:00:00-04:00,0.0
344,2015-05-08 00:00:00-04:00,0.0
345,2015-05-07 00:00:00-04:00,0.0
346,2015-05-06 00:00:00-04:00,0.0
347,2015-05-05 00:00:00-04:00,0.0
348,2015-05-04 00:00:00-04:00,0.0
349,2015-05-01 00:00:00-04:00,0.0
350,2015-04-30 00:00:00-04:00,0.0
351,2015-04-29 00:00:00-04:00,0.0
352,2015-04-28 00:00:00-04:00,0.0
353,2015-04-27 00:00:00-04:00,0.0
354,2015-04-24 00:00:00-04:00,0.0
355,2015-04-23 00:00:00-04:00,0.0
356,2015-04-22 00:00:00-04:00,0.0
357,2015-04-21 00:00:00-04:00,0.0
358,2015-04-20 00:00:00-04:00,0.0
359,2015-04-17 00:00:00-04:00,0.0
360,2015-04-16 00:00:00-04:00,0.0
361,2015-04-15 00:00:00-04:00,0.0
362,2015-04-14 00:00:00-04:00,0.0
363,2015-04-13 00:00:00-04:00,0.0
364,2015-04-10 00:00:00-04:00,0.0
365,2015-04-09 00:00:00-04:00,0.0
366,2015-04-08 00:00:00-04:00,0.0
